product_category_name,macro_categoria
eletronicos,Electrónica e Informática
informatica_acessorios,Electrónica e Informática
pcs,Electrónica e Informática
pc_gamer,Electrónica e Informática
audio,Electrónica e Informática
cine_foto,Electrónica e Informática
consoles_games,Electrónica e Informática
tablets_impressao_imagem,Electrónica e Informática
telefonia,Electrónica e Informática
telefonia_fixa,Electrónica e Informática
eletrodomesticos,Electrodomésticos
eletrodomesticos_2,Electrodomésticos
eletroportateis,Electrodomésticos
climatizacao,Electrodomésticos
moveis_colchao_e_estofado,Hogar y Muebles
moveis_cozinha_area_de_servico_jantar_e_jardim,Hogar y Muebles
moveis_decoracao,Hogar y Muebles
moveis_escritorio,Hogar y Muebles
moveis_quarto,Hogar y Muebles
moveis_sala,Hogar y Muebles
cama_mesa_banho,Hogar y Muebles
casa_conforto,Hogar y Muebles
casa_conforto_2,Hogar y Muebles
utilidades_domesticas,Hogar y Muebles
portateis_casa_forno_e_cafe,Hogar y Muebles
portateis_cozinha_e_preparadores_de_alimentos,Hogar y Muebles
la_cuisine,Hogar y Muebles
fashion_bolsas_e_acessorios,Moda y Accesorios
fashion_calcados,Moda y Accesorios
fashion_esporte,Moda y Accesorios
fashion_roupa_feminina,Moda y Accesorios
fashion_roupa_infanto_juvenil,Moda y Accesorios
fashion_roupa_masculina,Moda y Accesorios
fashion_underwear_e_moda_praia,Moda y Accesorios
malas_acessorios,Moda y Accesorios
relogios_presentes,Moda y Accesorios
beleza_saude,Belleza y Salud
perfumaria,Belleza y Salud
fraldas_higiene,Belleza y Salud
esporte_lazer,Deporte Juguetes y Ocio
brinquedos,Deporte Juguetes y Ocio
artigos_de_festas,Deporte Juguetes y Ocio
artigos_de_natal,Deporte Juguetes y Ocio
cool_stuff,Deporte Juguetes y Ocio
casa_construcao,Bricolaje Jardín y Construcción
construcao_ferramentas_construcao,Bricolaje Jardín y Construcción
construcao_ferramentas_ferramentas,Bricolaje Jardín y Construcción
construcao_ferramentas_iluminacao,Bricolaje Jardín y Construcción
construcao_ferramentas_jardim,Bricolaje Jardín y Construcción
construcao_ferramentas_seguranca,Bricolaje Jardín y Construcción
ferramentas_jardim,Bricolaje Jardín y Construcción
sinalizacao_e_seguranca,Bricolaje Jardín y Construcción
flores,Bricolaje Jardín y Construcción
livros_importados,Cultura Libros y Papelería
livros_interesse_geral,Cultura Libros y Papelería
livros_tecnicos,Cultura Libros y Papelería
cds_dvds_musicais,Cultura Libros y Papelería
dvds_blu_ray,Cultura Libros y Papelería
musica,Cultura Libros y Papelería
instrumentos_musicais,Cultura Libros y Papelería
artes,Cultura Libros y Papelería
artes_e_artesanato,Cultura Libros y Papelería
papelaria,Cultura Libros y Papelería
alimentos,Alimentación y Bebidas
alimentos_bebidas,Alimentación y Bebidas
bebidas,Alimentación y Bebidas
bebes,Bebé y Mascotas
pet_shop,Bebé y Mascotas
automotivo,Automoción
agro_industria_e_comercio,Otros y B2B
industria_comercio_e_negocios,Otros y B2B
market_place,Otros y B2B
seguros_e_servicos,Otros y B2B
